timestamp,pressure,temperature,altitude,ASMaccelX,ASMaccelY,ASMaccelZ,ASMgyrX,ASMgyrY,ASMgyrZ,ICMaccelX,ICMaccelY,ICMaccelZ,ICMgyrX,ICMgyrY,ICMgyrZ,magX,magY,magZ,ICMtemp,lat,lon,altMSL,altEll,velN,velE,velD,epochTime,satellites,gpsLockType
2765,1001.4446,23.1200,98.7378,-0.0120,0.0090,1.0160,0.9800,-1.4000,-0.0700,-0.1197,0.0479,9.9072,-0.0011,-0.0032,0.0064,17.8500,27.0000,22.8000,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2790,1001.4309,23.1300,98.8526,-0.0110,0.0090,1.0150,0.9100,-1.4700,-0.1400,-0.1820,0.0000,9.9982,-0.0043,-0.0011,0.0053,16.6500,28.5000,22.3500,26.1277,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2815,1001.4324,23.1300,98.8403,-0.0080,0.0080,1.0160,0.9800,-1.4700,-0.0700,-0.1197,0.0383,9.9120,0.0021,-0.0043,0.0021,15.4500,28.6500,21.9000,26.2715,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2840,1001.4324,23.1300,98.8403,-0.0050,0.0100,1.0150,0.8400,-1.6100,-0.1400,-0.1006,0.0335,9.8641,-0.0053,0.0011,0.0053,16.5000,28.2000,21.9000,26.3194,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2865,1001.4568,23.1300,98.6352,-0.0060,0.0100,1.0150,0.8400,-1.4000,-0.0700,-0.1484,0.0910,9.8450,0.0032,0.0011,0.0021,16.2000,27.9000,22.9500,26.0319,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2890,1001.4568,23.1300,98.6352,-0.0060,0.0080,1.0150,0.9100,-1.4000,-0.0700,-0.0431,0.0383,9.9790,-0.0043,-0.0053,0.0074,16.3500,27.7500,22.8000,26.1757,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2915,1001.4360,23.1300,98.8096,-0.0090,0.0100,1.0150,0.9100,-1.4700,-0.1400,-0.1389,0.0239,9.9024,0.0000,0.0000,0.0064,16.6500,27.7500,21.3000,26.3194,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2940,1001.4055,23.1300,99.0660,-0.0100,0.0090,1.0160,0.9100,-1.4000,-0.0700,-0.1676,0.0287,9.9120,-0.0053,0.0011,0.0053,16.3500,28.8000,22.0500,26.3194,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2965,1001.4055,23.1300,99.0660,-0.0120,0.0080,1.0150,0.9800,-1.4000,-0.0700,-0.1341,-0.0048,9.9695,0.0032,-0.0011,0.0021,15.7500,27.1500,22.9500,26.4632,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
2990,1001.4277,23.1300,98.8793,-0.0120,0.0080,1.0160,0.9800,-1.4700,-0.0700,-0.1484,0.0287,9.9838,-0.0021,0.0011,0.0053,15.7500,29.4000,22.2000,26.4632,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
3015,1001.4277,23.1300,98.8793,-0.0100,0.0090,1.0160,0.9100,-1.5400,-0.1400,-0.1149,0.0527,9.9599,-0.0011,0.0000,0.0021,18.1500,27.3000,21.7500,26.5111,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
3040,1001.4412,23.1300,98.7665,-0.0070,0.0100,1.0150,0.9100,-1.4000,-0.0700,-0.1580,0.0527,9.9551,-0.0032,0.0011,0.0053,17.2500,27.4500,22.6500,26.1277,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
3065,1001.4417,23.1300,98.7624,-0.0070,0.0110,1.0150,0.9100,-1.4700,-0.1400,-0.1772,0.0527,9.9695,-0.0032,0.0000,0.0064,17.1000,26.5500,22.3500,26.2715,0.00,0.00,-17000.00,0.00,0,0,0,1615075259,0,0
